"table_schema","constraint_name","table_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name","update_rule","delete_rule"
"public","calibration_records_performed_by_fkey","calibration_records","performed_by","public","users","id","NO ACTION","NO ACTION"
"public","calibration_records_component_id_fkey","calibration_records","component_id","public","machine_components","id","NO ACTION","NO ACTION"
"public","component_parameters_component_id_fkey","component_parameters","component_id","public","machine_components","id","NO ACTION","NO ACTION"
"public","experiment_metadata_experiment_id_fkey","experiment_metadata","experiment_id","public","experiments","id","NO ACTION","NO ACTION"
"public","experiment_results_experiment_id_fkey","experiment_results","experiment_id","public","experiments","id","NO ACTION","NO ACTION"
"public","experiments_operator_id_fkey","experiments","operator_id","public","users","id","NO ACTION","NO ACTION"
"public","experiments_process_execution_id_fkey","experiments","process_execution_id","public","process_executions","id","NO ACTION","NO ACTION"
"public","experiments_machine_id_fkey","experiments","machine_id","public","machines","id","NO ACTION","NO ACTION"
"auth","identities_user_id_fkey","identities","user_id","auth","users","id","NO ACTION","CASCADE"
"public","machine_assignments_user_id_fkey","machine_assignments","user_id","public","users","id","NO ACTION","CASCADE"
"public","fk_machine_assignments_user_id","machine_assignments","user_id","public","users","id","NO ACTION","CASCADE"
"public","fk_machine_assignments_machine_id","machine_assignments","machine_id","public","machines","id","NO ACTION","CASCADE"
"public","machine_components_machine_id_fkey","machine_components","machine_id","public","machines","id","NO ACTION","NO ACTION"
"public","maintenance_records_schedule_id_fkey","maintenance_records","schedule_id","public","maintenance_schedule","id","NO ACTION","NO ACTION"
"public","maintenance_records_machine_id_fkey","maintenance_records","machine_id","public","machines","id","NO ACTION","NO ACTION"
"public","maintenance_records_component_id_fkey","maintenance_records","component_id","public","machine_components","id","NO ACTION","NO ACTION"
"public","maintenance_records_performed_by_fkey","maintenance_records","performed_by","public","users","id","NO ACTION","NO ACTION"
"public","maintenance_schedule_machine_id_fkey","maintenance_schedule","machine_id","public","machines","id","NO ACTION","NO ACTION"
"public","maintenance_schedule_component_id_fkey","maintenance_schedule","component_id","public","machine_components","id","NO ACTION","NO ACTION"
"auth","mfa_amr_claims_session_id_fkey","mfa_amr_claims","session_id","auth","sessions","id","NO ACTION","CASCADE"
"auth","mfa_challenges_auth_factor_id_fkey","mfa_challenges","factor_id","auth","mfa_factors","id","NO ACTION","CASCADE"
"auth","mfa_factors_user_id_fkey","mfa_factors","user_id","auth","users","id","NO ACTION","CASCADE"
"storage","objects_bucketId_fkey","objects","bucket_id","storage","buckets","id","NO ACTION","NO ACTION"
"auth","one_time_tokens_user_id_fkey","one_time_tokens","user_id","auth","users","id","NO ACTION","CASCADE"
"public","operator_sessions_machine_id_fkey","operator_sessions","machine_id","public","machines","id","NO ACTION","NO ACTION"
"public","operator_sessions_operator_id_fkey","operator_sessions","operator_id","public","users","id","NO ACTION","NO ACTION"
"public","parameter_history_parameter_id_fkey","parameter_history","parameter_id","public","component_parameters","id","NO ACTION","NO ACTION"
"public","parameter_history_recorded_by_fkey","parameter_history","recorded_by","public","users","id","NO ACTION","NO ACTION"
"public","process_data_points_parameter_id_fkey","process_data_points","parameter_id","public","component_parameters","id","NO ACTION","NO ACTION"
"public","process_data_points_process_id_fkey","process_data_points","process_id","public","process_executions","id","NO ACTION","NO ACTION"
"public","process_executions_recipe_id_fkey","process_executions","recipe_id","public","recipes","id","NO ACTION","NO ACTION"
"public","process_executions_operator_id_fkey","process_executions","operator_id","public","users","id","NO ACTION","NO ACTION"
"public","process_executions_machine_id_fkey","process_executions","machine_id","public","machines","id","NO ACTION","NO ACTION"
"public","process_executions_session_id_fkey","process_executions","session_id","public","operator_sessions","id","NO ACTION","NO ACTION"
"public","recipe_steps_recipe_id_fkey","recipe_steps","recipe_id","public","recipes","id","NO ACTION","CASCADE"
"public","recipe_steps_parent_step_id_fkey","recipe_steps","parent_step_id","public","recipe_steps","id","NO ACTION","NO ACTION"
"public","recipes_created_by_fkey","recipes","created_by","public","users","id","NO ACTION","CASCADE"
"auth","refresh_tokens_session_id_fkey","refresh_tokens","session_id","auth","sessions","id","NO ACTION","CASCADE"
"storage","s3_multipart_uploads_bucket_id_fkey","s3_multipart_uploads","bucket_id","storage","buckets","id","NO ACTION","NO ACTION"
"storage","s3_multipart_uploads_parts_bucket_id_fkey","s3_multipart_uploads_parts","bucket_id","storage","buckets","id","NO ACTION","NO ACTION"
"storage","s3_multipart_uploads_parts_upload_id_fkey","s3_multipart_uploads_parts","upload_id","storage","s3_multipart_uploads","id","NO ACTION","CASCADE"
"auth","saml_providers_sso_provider_id_fkey","saml_providers","sso_provider_id","auth","sso_providers","id","NO ACTION","CASCADE"
"auth","saml_relay_states_sso_provider_id_fkey","saml_relay_states","sso_provider_id","auth","sso_providers","id","NO ACTION","CASCADE"
"auth","saml_relay_states_flow_state_id_fkey","saml_relay_states","flow_state_id","auth","flow_state","id","NO ACTION","CASCADE"
"auth","sessions_user_id_fkey","sessions","user_id","auth","users","id","NO ACTION","CASCADE"
"auth","sso_domains_sso_provider_id_fkey","sso_domains","sso_provider_id","auth","sso_providers","id","NO ACTION","CASCADE"
